host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
992557,2011-08-19,a few days or more,FALSE,0,0,Wychwood,Entire home/apt,1,6,3,NA,199,21,TRUE,92,9,9,9,10,10,9
1015926,2011-08-24,within an hour,FALSE,3,3,Stonegate-Queensway,Private room,1,2,1,0,68,27,TRUE,96,10,10,10,10,9,9
1019538,2011-08-25,within a day,FALSE,2,2,Little Portugal,Entire home/apt,2,4,2,NA,251,17,TRUE,94,10,9,10,10,9,9
1028504,2011-08-27,within a day,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,144,35,TRUE,93,9,9,9,9,10,9
1169979,2011-09-16,within a few hours,FALSE,3,3,North Riverdale,Entire home/apt,1,3,1,NA,225,18,TRUE,81,9,8,9,9,9,9
1170217,2011-09-16,within a day,FALSE,2,2,Church-Yonge Corridor,Private room,1,2,1,0,85,26,TRUE,92,10,9,10,10,10,9
1200620,2011-09-23,N/A,FALSE,1,1,Niagara,Entire home/apt,1,5,2,NA,325,10,TRUE,93,9,9,10,10,10,9
706457,2011-06-15,within an hour,FALSE,1,1,Bay Street Corridor,Private room,2,2,2,NA,121,39,TRUE,92,10,9,9,9,10,9
1218097,2011-09-27,within an hour,FALSE,2,2,Annex,Entire home/apt,1,3,1,NA,265,4,TRUE,93,10,9,9,10,10,9
1203746,2011-09-24,within an hour,FALSE,1,1,South Riverdale,Entire home/apt,1,3,1,NA,140,97,TRUE,97,10,10,10,10,10,10
349772,2011-01-16,within a day,TRUE,1,1,Annex,Entire home/apt,1,2,1,NA,95,23,TRUE,93,10,8,10,10,10,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,0,70,147,TRUE,86,9,9,9,8,9,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,NA,65,72,TRUE,88,9,8,9,9,9,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,5,1,0,65,104,TRUE,85,9,9,9,8,9,9
1396237,2011-11-11,within an hour,FALSE,1,1,Niagara,Entire home/apt,1,2,1,NA,105,5,TRUE,100,10,10,10,10,10,10
1311843,2011-10-19,within an hour,FALSE,1,1,Roncesvalles,Entire home/apt,1,4,2,NA,140,7,TRUE,86,9,8,9,10,10,9
1415439,2011-11-16,within an hour,FALSE,5,5,Waterfront Communities-The Island,Entire home/apt,1,4,1,750,190,79,TRUE,98,10,10,10,10,10,10
1430894,2011-11-21,within an hour,TRUE,10,10,Palmerston-Little Italy,Entire home/apt,2,4,2,1350,252,109,TRUE,94,10,10,10,10,10,9
1367540,2011-11-03,within a few hours,FALSE,5,5,Moss Park,Private room,1,2,1,0,76,143,TRUE,83,8,8,8,8,8,8
1477264,2011-12-06,N/A,FALSE,1,1,Kensington-Chinatown,Private room,1,1,1,0,135,16,TRUE,97,10,10,10,10,10,10
1368256,2011-11-03,within a day,FALSE,1,1,North St.James Town,Entire home/apt,1.5,6,2,NA,125,21,TRUE,90,10,10,10,9,9,10
1270530,2011-10-10,within a day,TRUE,1,1,Niagara,Entire home/apt,1,2,1,NA,199,91,TRUE,99,10,10,10,10,10,10
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,1,3,1,0,73,17,TRUE,99,10,10,10,10,9,10
1108156,2011-09-04,within an hour,TRUE,2,2,Waterfront Communities-The Island,Entire home/apt,1,2,0,NA,110,58,TRUE,99,10,10,10,10,10,10
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,1,4,1,0,90,24,TRUE,93,9,10,10,10,9,10
812337,2011-07-12,within an hour,FALSE,3,3,Dufferin Grove,Private room,3,3,1,NA,85,23,TRUE,95,9,10,10,10,9,9
1390920,2011-11-09,within a few hours,TRUE,1,1,South Riverdale,Entire home/apt,1,6,2,NA,179,137,TRUE,96,10,10,10,10,10,9
1815434,2012-02-26,within a few hours,FALSE,2,2,Palmerston-Little Italy,Entire home/apt,1,1,1,NA,95,25,TRUE,88,9,9,10,10,10,9
174063,2010-07-20,within an hour,TRUE,3,3,South Parkdale,Entire home/apt,1,5,2,NA,99,59,TRUE,95,9,9,10,10,9,9
1816495,2012-02-27,within a few hours,FALSE,3,3,The Beaches,Entire home/apt,1.5,6,2,NA,229,2,TRUE,90,9,9,10,9,10,10
1015670,2011-08-24,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,1,NA,190,9,TRUE,98,10,10,10,10,9,9
1903033,2012-03-11,within an hour,FALSE,2,2,Rosedale-Moore Park,Entire home/apt,3.5,8,3,3000,649,1,TRUE,100,10,10,10,10,10,10
1910540,2012-03-12,N/A,TRUE,1,1,Danforth,Entire home/apt,1,2,1,NA,135,32,TRUE,94,10,10,10,10,10,9
1916855,2012-03-13,within an hour,FALSE,2,2,Kensington-Chinatown,Entire home/apt,1,2,1,NA,111,214,TRUE,92,9,10,10,10,10,9
1952926,2012-03-18,within a few hours,TRUE,6,6,Regent Park,Private room,1,3,1,0,65,779,TRUE,96,10,10,10,10,10,10
304551,2010-11-29,within a few hours,TRUE,6,6,Palmerston-Little Italy,Entire home/apt,1,1,1,0,80,2,TRUE,80,10,8,10,10,10,8
